       1       1     3.5
       2       1       4
       3       1     3.5
       4       1       3
       5       1     3.5
       6       1       3
       7       1       4
       8       1     3.5
       9       1     3.5
      10       1       3
      11       1     4.5
       1       2     4.5
       2       2     4.5
       3       2     4.5
       4       2     4.5
       5       2       5
       6       2     5.5
       7       2       4
       8       2     4.5
       9       2       5
      10       2     4.5
      11       2       6
       1       3     2.5
       2       3       3
       3       3       3
       4       3       3
       5       3     3.5
       6       3     3.5
       7       3     2.5
       8       3       3
       9       3     3.5
      10       3     3.5
      11       3       3
